image_src,title,caption,photographer,tags,prize,category
Charlotte Rodgers-Foran_32_Charlotte_Stars3.JPG,,"A star is an astronomical object held together by its own gravity. Stars are constantly moving in space even though it seems to the naked eye as though they are in a fixed position. Constellations are groups of stars that appear to be in the same order and position. There are millions of stars in the sky and not all are visible to us on earth. The closest star to us is the sun, which is why it looks much bigger in proportion to the rest of the stars up in the sky. The Milky way can be seen almost every night, it is a hazy strip of stars so far away that we cant distinguish each individual star through our own eyes. Our solar system is part of the Milky Way. It looks like chaos from here but they are actually in a very orderly pattern.
Third photo",Charlotte Rodgers-Foran,teens,Teens,teens
Charlotte Rodgers-Foran_31_Charlotte_Stars2.JPG,,"A star is an astronomical object held together by its own gravity. Stars are constantly moving in space even though it seems to the naked eye as though they are in a fixed position. Constellations are groups of stars that appear to be in the same order and position. There are millions of stars in the sky and not all are visible to us on earth. The closest star to us is the sun, which is why it looks much bigger in proportion to the rest of the stars up in the sky. The Milky way can be seen almost every night, it is a hazy strip of stars so far away that we cant distinguish each individual star through our own eyes. Our solar system is part of the Milky Way. It looks like chaos from here but they are actually in a very orderly pattern.
Second photo",Charlotte Rodgers-Foran,teens,Teens,teens
Charlotte Rodgers-Foran_30_Charlotte_Stars1.JPG,,"A star is an astronomical object held together by its own gravity. Stars are constantly moving in space even though it seems to the naked eye as though they are in a fixed position. Constellations are groups of stars that appear to be in the same order and position. There are millions of stars in the sky and not all are visible to us on earth. The closest star to us is the sun, which is why it looks much bigger in proportion to the rest of the stars up in the sky. The Milky way can be seen almost every night, it is a hazy strip of stars so far away that we cant distinguish each individual star through our own eyes. Our solar system is part of the Milky Way. It looks like chaos from here but they are actually in a very orderly pattern.

First photo",Charlotte Rodgers-Foran,teens,Teens,teens
Benjamin Rodgers-Foran_29_Benjamin_Contrail3.JPG,,"Jet streams (also known as contrails) are caused by the cold air from extreme altitudes and from the hot air coming out of the plane's engines. When the warm air comes out of the engines it freezes and becomes water vapour which is the ‘smoke’ that you and I see. 
At first it is orderly and then the wind comes and causes chaos and the trail disperses and then spreads further across the sky

This is my 3rd photo to show the contrails",Benjamin Rodgers-Foran,teens,Teens,teens
Benjamin Rodgers-Foran_28_Benjamin_Contrail2.JPG,,"Jet streams (also known as contrails) are caused by the cold air from extreme altitudes and from the hot air coming out of the plane's engines. When the warm air comes out of the engines it freezes and becomes water vapour which is the ‘smoke’ that you and I see. 
At first it is orderly and then the wind comes and causes chaos and the trail disperses and then spreads further across the sky

This is the 2nd photo to show the contrails",Benjamin Rodgers-Foran,teens,Teens,teens
Benjamin Rodgers-Foran_27_Benjamin_Contrail1.JPG,,"Jet streams (also known as contrails) are caused by the cold air from extreme altitudes and from the hot air coming out of the plane's engines. When the warm air comes out of the engines it freezes and becomes water vapour which is the ‘smoke’ that you and I see. 
At first it is orderly and then the wind comes and causes chaos and the trail disperses and then spreads further across the sky

I am submitting 3 photos to show this",Benjamin Rodgers-Foran,teens winner,"Second Place, Teens",teens
Jeanna Rodgers_26_Jeanna_Web.JPG,,"The spider creates its web from proteinaceous silk from its spinnakers. The web is created in a spiral pattern, keeping the tension constant and the distances constant so it all is in a nice orderly pattern. The web is sticky due to droplets of glue suspended on the silk threads which function as an elastic solid and keeps their victims right where they want them!  The webs can be damaged by the chaotic struggling of trapped insects or due to the force of the wind. On frosty mornings, the web becomes more beautiful but loses its stickiness and starts to break up.",Jeanna Rodgers,adults,Adults,adults
Jeanna Rodgers_25_Jeanna_Wave.JPG,,"Order and chaos are always present in the waves. When energy passes through water it moves in a circular motion. Friction between wind and surface water causes a wave crest as the wind blows across the surface of the water.  The faster and the longer the wind blows, the bigger the waves will grow. Order is shown as the waves will always continue until they are stopped by something like a beach where they break. Sometimes we get massive, freak waves when two storms meet each other and cause chaos around them.
",Jeanna Rodgers,adults,Adults,adults
Jeanna Rodgers_24_Jeanna_Football.JPG,,To play football there is a lot of orderly action required in your body.  When you kick the ball you are transferring kinetic energy from your body to the ball.  You need to be able to calculate how much force is required to move the ball with the right speed and in the right direction . The weight of the ball makes a difference - Newton’s second law of motion tells us that a bigger force is required to accelerate a heavy ball than a lighter one. To head the ball there is an inelastic collision where momentum and energy are transferred imperfectly from your head to the ball. Chaos however reigns when not everyone has the ability to send the ball quite where they want it to go!,Jeanna Rodgers,adults,Adults,adults
George Harker_23_IMG_9468.JPG,,"The Tuhura Science Centre has an exhibit called The Void, where people can enter a room with mirrors that create an infinite reflection of the lights in the room. I took this photo while a friend held a red light that reflected on the mirrors to give the pattern of the Southern Cross constellation. Stars are arranged in a chaotic way around our galaxy. In the chaos of the arrangement of stars we create pictures with the brightest stars that help us identify them. The theory of chaos searches for patterns in the apparent unpredictability of the movement of things. The void exhibit is a great place to explore this, and the idea of infinity.",George Harker,kids winner,"Third Place, Kids",kids
George Harker_22_IMG_8696.JPG,,"I threw an egg into a cup of water to take a photograph of the shape of the splash. I was expecting it to be rounder, but the egg fell into the cup hitting the edge and therefore creating a much more chaotic spill of water.The Archimedes principle can help predict how much water spills out when the egg falls in as the volume of water spilling is equivalent to the volume of the egg, which sank to the bottom of the cup.",George Harker,kids,Kids,kids
George Harker_21_IMG_9340.JPG,,"Dunedin's Robin Hood Park is home to chaos and order every Friday during the astronomy club. In this photo I set up a 30 second long exposure while all members of the club ran around the park holding small LED lights. Predicting the movement of the lights was very difficult, just like it is difficult to predict the path of a tornado. Everyone ran around the park and some even threw the lights up. The trayectory of the lights show how gravity keeps us all down on the ground, even though the instructions to all were to run and jump as high as possible. Jupiter can be seen in the background as a reference of a planet that has a much bigger gravitational pull than Earth. Jupiter protects us from asteroids that could fall on Earth, but get attracted to Jupiter instead.",George Harker,kids winner,"Second Place, Kids",kids
Anton Stuck_20_IMG_7632 (1).jpg,,"The night in Mosgiel is a good time to find some order in the chaos of the city. From the branching patterns of the trees to the road that was wet from the rain. Chaos is organized to construct our city. We gave more patterns to the photo by drawing  a spiral with torches in a 30 second long exposure photograph. We combined the torches in our cellphone with a UV light that gave the purple color. The bright white lights are common during the day, but they contrast with the darkness of the night and the few amber lights to the right of the photo.",Anton Stuck,adults,Adults,adults
Anton Stuck_19_20200919234614_IMG_8336.jpg,,"Middlemarch is a fantastic place to go and enjoy the galaxy we call our own. The milky way is seen in this photo. Billions of stars are scattered on  the plane of our galaxy in a very chaotic manner. In the foreground star gazers traced with a torch to see the pattern of their bodies and the cottage where we stay the night is seen to the right. A closer look to at the layers in this photos reveals that between us and the milky way there are thousands of stars from our own arm in the milky way, the Orion arm. To the left even further out from our galaxy we see the Large Magellanic Cloud, another galaxy with billions of stars chaotically arranged.",Anton Stuck,adults,Adults,adults
Anton Stuck_18_G0507448.jpg,,"St Clair is a good place to go surfing because of the waves, but if you don't surf it is a great place to jump waves. The order and patterns of the waves rolling in is broken by the chaos of the splashes when the waves break. Within the chaos of the splash there are patterns that arise. Mathematics can help us discover these patterns with the theory of fractals. The study of fractals looks at the geometrical figures that repeat themselves as you zoom in. In the photo big drops are followed by smaller drops splashing in all directions.",Anton Stuck,adults,Adults,adults
Abigail Dustow_17_6D840E18-68B9-4DD5-939D-EB8C7747E9CA.jpeg,,"Trees reach up to the sunlight for food. They do this day after day to survive and grow. Their branches are all over the place, chasing the sun wherever it goes. ",Abigail Dustow,kids,,kids
Gilbert van Reenen_16_CumuloNimbusGvanReenen.jpg,,"Towering cumulonimbus clouds encapsulate features of  both  ordered and chaotic states. They are the grandaddies of all clouds and the scariest for aviators.  They often commence as a gentle silent  orderly ascent of a small pocket of warmed air containing a smidgen of water vapour, rising above a ploughed field or car park on a sunny autumn day. The action is triggered by a temperature gradient resulting from uneven absorption of energy from the sun in the central darker area versus  the surrounding lighter zone and can then propagate into a massive anvil shaped,  chaos packed,  structure 21,000 metres above ground level with a base several kilometres diameter. They can produce hail, rain, snow, thunder and lightning and can create extreme turbulence  and destructive  wind gusts at ground level and in surrounding air, posing huge risks for passing aircraft.  Externally they retain regular form and structure and behave predictably.



",Gilbert van Reenen,adults,Adults,adults
Gilbert van Reenen_15_MilkyWayGalaxyoverLakeWanaka.jpg,,"Is the Universe ordered or chaotic?  
Great question Uncle Albert!. 
Einstein couldn’t provide an unequivocal answer himself.
Absolute  chaos prevailed for a short time, 10-43  seconds after the BIG Bang.  Apart from a few exceptions, everything settled down nicely for the next13.8 billion years. 
My image  of  the Milky Way, our galaxy  over Wanaka, shows just a small part of the universe. 
Even though the millions of  contained collossal objects individually  have gravitational influence on each other, order somehow prevails.
14,000 years ago this landscape was engulfed in a huge glacier whose momentum created massive chaotic changes to the adjacent rock and dug the lake. 
Much more chaotic though has been the continuing  uplift of the mountains in the background as a consequence of earth’s largest (Pacific) tectonic plate colliding with the neighbouring (Australian) plate, causing a vertical uplift of over  20km and a terrifying sequence of chaotic earthquakes. 
",Gilbert van Reenen,adults,Adults,adults
Gilbert van Reenen_14_WavesatTeWahiPounamuGilbertvanReenen.jpg,,"Waves are  the most pervasive physical phenomena in the universe. They were generated immediately after the big bang. Evidence of those actual waves can still be detected in space as the cosmic microwave background . There are myriad forms of waves and they can be mathematically defined extremely accurately. Waves are involved in all of our senses and physiological and cognitive processes. 
The propagation of a wave involves both order and chaos because they are initially  a disturbance that then moves in a regular organised manner.  Waves usually involve a medium such as these transverse oceanic waves approaching the Te Wahi Pounamu coast, generated by weather disturbances several thousand kilometers distant in the southern ocean. 
When waves collide with each other or physical barriers e.g  a beachhead or cliff face, the ordered form of the wave is disrupted, then becoming chaotic and  releasing  energy. This can be highly disruptive.
",Gilbert van Reenen,adults,Adults,adults
Chris Reid_13_waterfall__orderandchaos.jpg,,"This image is about order and chaos existing simultaneously within each other. 

As it falls, the water’s downward movement is shown as blurred streaks during the sixtieth of a second that the camera’s shutter is open. Simultaneously in other parts of the photo the water is seen in sharp detail as turbulent and chaotic. This effect is due to tracking this part of the water’s fall with the camera.

As our consciousness interprets our perceptions it tries to create a world we can understand. The way time and movement can be fixed by photography allows our perception to extend past our usual awareness and see phenomena that seems extraordinary.",Chris Reid,adults,Adults,adults
Amir Amini Khoozani_12_Amir.JPG,,"A magical universe can only exist by our creation; And here is one of them! We created an earthy solar system! This idea was invented in a sunny day, featuring very good friend of mine!",Amir Amini Khoozani,adults,Adults,adults
Zoe Harman_11_IMG_1783.jpg,,The Maniototo plain is the largest plain in Central Otago. There are many mountain ranges that surround the Maniototo plain that have been built up by tectonic plates pushing together and forming mountains. because of the mountains being formed by tectonic plates gold was found in the Maniototo and many gold mining settlements were formed populating the area. when the gold rush died down the population of the area turned to farming as a new source of income. The Maniototo became a good assessable  area for farming except for the continental climate caused by the surrounding mountain ranges and the altitude of the area. In the Maniototo we get extreme heat in the summer (40°+) and extreme cold in the winter (-10°+). Low hanging fog is also seen quite often in the winter and it often hangs around during winter causing hoarfrosts.,Zoe Harman,teens,Teens,teens
Zoe Harman_10_IMG_2708.jpg,,The Maniototo plain is the largest plain in Central Otago. There are many mountain ranges that surround the Maniototo plain that have been built up by tectonic plates pushing together and forming mountains. because of the mountains being formed by tectonic plates gold was found in the Maniototo and many gold mining settlements were formed populating the area. when the gold rush died down the population of the area turned to farming as a new source of income. The Maniototo became a good assessable  area for farming except for the continental climate caused by the surrounding mountain ranges and the altitude of the area. In the Maniototo we get extreme heat in the summer (40°+) and extreme cold in the winter (-10°+). Low hanging fog is also seen quite often in the winter and it often hangs around during winter causing hoarfrosts.,Zoe Harman,teens,Teens,teens
Zoe Harman_9_IMG_1775.jpg,,The Maniototo plain is the largest plain in Central Otago. There are many mountain ranges that surround the Maniototo plain that have been built up by tectonic plates pushing together and forming mountains. because of the mountains being formed by tectonic plates gold was found in the Maniototo and many gold mining settlements were formed populating the area. when the gold rush died down the population of the area turned to farming as a new source of income. The Maniototo became a good assessable  area for farming except for the continental climate caused by the surrounding mountain ranges and the altitude of the area. In the Maniototo we get extreme heat in the summer (40°+) and extreme cold in the winter (-10°+). Low hanging fog is also seen quite often in the winter and it often hangs around during winter causing hoarfrosts.,Zoe Harman,teens,Teens,teens
Trevor Douglas_8_Frosty Birds.jpg,,"Every Winters morning I have ventured outside to de-ice my cars windows before driving off. One morning I actually got into the car to start it first to use the vehicle heater to defrost the windows when I was struck by the beautiful patterns created overnight. I have witnessed time lapse movies of crystals growing but never before seen such a variety of shapes and details as this image shows.What immediately struck me was the similarity to birds sitting together, complete down to feather detail. Since this day I head straight out the door every frosty morning, camera in hand, hoping for another surprise encounter.
",Trevor Douglas,adults winner,"Third Place, Adults",adults
Sophie Ineson_7_686D143E-62DD-495A-8334-EB14BF6ED0BA.JPG,,"Order is created by the flowers petals based on the biological map inside a a flowers growing bud. Different shapes and formations are generated based on the order of this map.

The forced perspective technique creates the chaos of nature and how the flower will survive based on light , and energy from the sun.
",Sophie Ineson,kids,Kids,kids
Sophie Ineson_6_CxktTiyjStyh35bUhacnlw.jpg,,The chaos is the molecules and small particles in the atmosphere changing the direction of the light rays. This causes the scattering of colour and forming patterns in the sky and in the river. I took this photo on my way to school on the second last day of term.,Sophie Ineson,kids,Kids,kids
Sophie Ineson_5_IMG_2069.jpg,,The order is the way pop corn pops. The water is trapped inside its kernel. The temperature causes the water to turn to steam which build up pressure inside the kernel. Once the temperature is high enough the chaos begins with the kernel hull bursting. The starch inside keeps expanding to give us the fluffy popcorn we all love to eat .,Sophie Ineson,kids winner,"First Place, Kids",kids
Nora Paicu_3_IMG_7493.jpg,,"Morning Sky in Invercargill: the light pinks, purples, orange and yellows in the sky come from sunlight scattered by air molecules, this is called Rayleigh scattering. When there are more aerosols or more smog, more sunlight is scattered resulting in a pink and purple sky colouring. The white colour from sunlight contains all the colours within it and as it hits smog, etc, the colours begin to show themselves more clearly. When sunlight passes through the sky, it goes through evaporated water droplets which both refract and reflect light, scattering the sunlight's colours.",Nora Paicu,teens winner,"Third Place, Teens",teens
Susi Otto_2_GreenLake.png,,"A chaotic field of ordered frost flowers 
- Green Lake

Frost flowers only grow under very specific conditions: when temperatures first start dropping below the freezing point, the ground is still warm enough to keep the root systems of the plants alive. Plants remain able to draw water from their roots to their stem, but the colder air temperatures make the water freeze. Symmetrical ice crystals start to form inside the stem and push their way out through the stem’s wall. The crystals build up to thin and ordered strands as latent heat is released from crystallization which keeps the water below from freezing. 
A delicate beauty that will be lost once the plant freezes completely in winter. 
",Susi Otto,adults,Adults,adults
